"Date","Department","Category","Region","Budget Amount","Actual Amount","Payment Method","Transaction ID"
"2023-03-16","IT","Infrastructure","West","144560","67544","Bank Transfer","TXN100095"
"2021-04-09","Sales","Marketing","North","77431","118930","Cash","TXN100096"
"2022-11-15","Sales","Marketing","South","78444","162348","Cash","TXN100097"
"2022-12-27","HR","Salaries","South","76947","118079","UPI","TXN100098"
"2023-08-19","HR","Marketing","East","146529","132412","Bank Transfer","TXN100099"
"2022-09-05","HR","Infrastructure","West","48216","61044","Card","TXN100100"
"2022-10-05","Operations","Utilities","East","103230","27184","UPI","TXN100101"
"2023-10-26","Finance","Salaries","Central","18847","29633","UPI","TXN100102"
"2022-05-18","Sales","Training","North","24658","33368","Cash","TXN100103"
"2023-02-06","Finance","Utilities","East","136878","35045","UPI","TXN100104"
"2022-02-02","Finance","Infrastructure","East","39676","77919","Bank Transfer","TXN100105"
"2023-05-21","HR","Salaries","Central","10645","117390","UPI","TXN100106"
"2023-03-06","Finance","Travel","South","107476","99881","UPI","TXN100107"
"2022-01-28","Sales","Marketing","South","88236","69261","Bank Transfer","TXN100108"
"2021-07-26","Sales","Infrastructure","Central","28618","63464","UPI","TXN100109"
"2023-11-05","Marketing","Salaries","South","71859","109454","Card","TXN100110"
"2023-06-11","IT","Utilities","Central","68827","135046","UPI","TXN100111"
"2023-05-14","Operations","Salaries","South","107389","159814","Card","TXN100112"
"2023-01-13","Finance","Travel","Central","135114","162322","Bank Transfer","TXN100113"
"2022-07-18","Operations","Infrastructure","South","106726","141649","Card","TXN100114"
"2023-10-18","Operations","Salaries","East","138077","143377","Bank Transfer","TXN100115"
"2021-04-06","Operations","Training","East","143034","61202","Card","TXN100116"
"2022-04-30","Marketing","Infrastructure","South","138373","100276","Card","TXN100117"
"2021-08-19","Operations","Infrastructure","Central","136076","154023","Bank Transfer","TXN100118"
"2023-01-19","Marketing","Utilities","East","72397","158604","Bank Transfer","TXN100119"
"2022-06-25","Sales","Marketing","North","79951","86138","Card","TXN100120"
"2023-11-26","Finance","Training","South","65770","96074","Bank Transfer","TXN100121"
"2022-06-09","Marketing","Travel","North","41545","48828","Cash","TXN100122"
"2022-08-01","IT","Salaries","North","18705","26330","UPI","TXN100123"
"2022-11-13","Operations","Marketing","West","20704","152314","Card","TXN100124"
"2022-07-11","IT","Utilities","North","38671","42340","Cash","TXN100125"
"2023-10-10","Sales","Marketing","North","31203","102468","Cash","TXN100126"
"2022-10-08","Sales","Infrastructure","West","91927","68989","Cash","TXN100127"
"2023-03-07","HR","Infrastructure","West","130503","21823","Bank Transfer","TXN100128"
"2023-11-18","Operations","Travel","West","102115","90119","UPI","TXN100129"
"2021-07-09","HR","Training","Central","22451","125065","Card","TXN100130"
"2022-09-25","IT","Salaries","West","121372","77604","UPI","TXN100131"
"2022-09-20","Finance","Salaries","Central","130102","16281","Card","TXN100132"
"2023-08-31","HR","Utilities","South","106613","79734","UPI","TXN100133"
"2022-12-11","Sales","Travel","Central","85856","95951","UPI","TXN100134"
"2022-10-11","Operations","Salaries","South","68642","49051","Cash","TXN100135"
"2021-11-14","IT","Training","West","97656","100215","Bank Transfer","TXN100136"
"2022-11-15","Marketing","Infrastructure","West","44612","138226","Card","TXN100137"
"2022-10-26","Sales","Travel","South","128299","65283","Card","TXN100138"
"2022-03-18","Marketing","Marketing","East","139848","67309","Card","TXN100139"
"2022-07-18","Finance","Travel","Central","97606","151420","Cash","TXN100140"
"2023-08-10","Operations","Travel","North","108983","71335","Cash","TXN100141"
"2022-11-30","Finance","Training","West","17190","51124","Cash","TXN100142"
"2021-04-23","Finance","Training","Central","39617","90509","Cash","TXN100143"
"2021-01-02","Operations","Salaries","Central","119319","135211","Cash","TXN100144"
"2022-10-04","Operations","Utilities","West","106931","132960","UPI","TXN100145"
"2021-08-08","Marketing","Utilities","South","10009","93558","Card","TXN100146"
"2023-05-05","Finance","Training","West","124291","60466","UPI","TXN100147"
"2022-01-20","IT","Salaries","Central","90739","32459","Cash","TXN100148"
"2023-12-13","Marketing","Salaries","East","63368","53076","Bank Transfer","TXN100149"
"2022-12-31","Operations","Salaries","South","85914","18080","Cash","TXN100150"
"2021-09-04","Sales","Training","West","58847","28168","Cash","TXN100151"
"2023-04-16","Marketing","Utilities","North","85755","91097","Cash","TXN100152"
"2021-07-22","HR","Salaries","West","105491","39892","Card","TXN100153"
"2021-05-03","IT","Training","Central","108347","142037","Card","TXN100154"
"2022-02-05","Marketing","Marketing","Central","50094","40438","Bank Transfer","TXN100155"
"2023-02-06","Operations","Marketing","North","137791","147565","Card","TXN100156"
"2021-10-21","Operations","Infrastructure","South","136489","111467","Cash","TXN100157"
"2021-10-07","IT","Marketing","Central","103893","166963","Bank Transfer","TXN100158"
"2023-06-03","HR","Travel","South","50544","48955","Bank Transfer","TXN100159"
"2021-07-17","Marketing","Infrastructure","South","102398","119010","Bank Transfer","TXN100160"
"2023-09-09","Marketing","Marketing","West","57660","155517","Cash","TXN100161"
"2023-01-22","Finance","Travel","South","83736","41625","Card","TXN100162"
"2021-05-24","Sales","Marketing","Central","81168","91260","UPI","TXN100163"
"2022-09-01","Operations","Training","Central","44630","33393","Card","TXN100164"
"2021-07-06","Marketing","Travel","East","14711","166755","UPI","TXN100165"
"2022-04-09","Marketing","Salaries","South","12457","29399","Cash","TXN100166"
"2022-10-22","Marketing","Training","East","86732","159108","Card","TXN100167"
"2023-02-03","HR","Travel","West","88375","125991","Cash","TXN100168"
"2023-08-13","Sales","Training","East","49467","57941","Cash","TXN100169"
"2022-02-07","Marketing","Salaries","South","17157","34656","Bank Transfer","TXN100170"
"2021-05-27","IT","Travel","Central","120357","165689","Card","TXN100171"
"2023-05-14","Operations","Travel","West","12714","108606","Bank Transfer","TXN100172"
"2022-05-04","Finance","Training","South","37217","107377","Card","TXN100173"
"2023-07-18","IT","Marketing","West","50132","116527","Cash","TXN100174"
"2022-07-05","Operations","Travel","North","106653","39766","Bank Transfer","TXN100175"
"2021-12-04","HR","Marketing","South","90792","81097","Cash","TXN100176"
"2023-05-22","Sales","Travel","North","66371","138929","UPI","TXN100177"
"2022-10-03","Sales","Utilities","East","66788","118864","Cash","TXN100178"
"2022-04-18","Operations","Infrastructure","South","19583","157338","UPI","TXN100179"
"2021-05-31","IT","Marketing","North","52042","143417","UPI","TXN100180"
"2021-09-20","Finance","Marketing","Central","100405","156716","Bank Transfer","TXN100181"
"2021-05-24","HR","Salaries","East","87807","80583","Bank Transfer","TXN100182"
"2021-12-12","Operations","Utilities","South","78371","133061","Card","TXN100183"
"2022-09-16","HR","Salaries","South","149085","115590","Card","TXN100184"
"2023-10-14","Sales","Utilities","Central","88775","52889","Bank Transfer","TXN100185"
"2023-05-31","Marketing","Utilities","Central","46973","158992","Card","TXN100186"
"2021-01-02","Marketing","Training","North","77690","123990","Cash","TXN100187"
"2023-06-16","Finance","Training","North","79459","77850","Cash","TXN100188"
"2021-09-11","HR","Training","North","41558","116519","Cash","TXN100189"
"2022-03-29","Operations","Travel","West","118350","11474","Cash","TXN100190"
"2023-11-27","Finance","Salaries","East","50030","95768","Cash","TXN100191"
"2023-10-12","IT","Infrastructure","South","46636","32039","UPI","TXN100192"
"2021-01-09","Marketing","Utilities","East","119528","22104","Cash","TXN100193"
"2023-03-27","Operations","Utilities","Central","73566","136404","Card","TXN100194"
"2021-07-27","HR","Marketing","East","61159","25786","Bank Transfer","TXN100195"
"2022-02-08","Finance","Travel","East","66025","54716","Bank Transfer","TXN100196"
"2021-06-01","Operations","Infrastructure","North","119463","138738","Card","TXN100197"
"2021-02-23","Finance","Training","Central","22434","130914","Card","TXN100198"
"2022-09-20","Finance","Utilities","East","56096","59269","Card","TXN100199"
"2022-08-10","Finance","Marketing","South","57471","161265","Bank Transfer","TXN100200"
"2021-04-14","HR","Salaries","North","66004","95950","Card","TXN100201"
"2021-09-11","Operations","Utilities","East","20487","24791","Card","TXN100202"
"2022-05-25","Sales","Marketing","Central","85925","127363","UPI","TXN100203"
"2021-04-09","Sales","Salaries","South","106925","86429","UPI","TXN100204"
"2021-06-02","HR","Travel","Central","123500","111807","UPI","TXN100205"
"2023-07-03","HR","Training","Central","19610","14224","Bank Transfer","TXN100206"
"2023-05-28","Marketing","Salaries","Central","63551","113909","Card","TXN100207"
"2021-12-04","Finance","Utilities","West","23869","35685","Cash","TXN100208"
"2023-04-02","Operations","Infrastructure","South","98466","102045","Bank Transfer","TXN100209"
"2023-08-15","Operations","Salaries","Central","32979","26476","UPI","TXN100210"
"2021-06-10","IT","Infrastructure","West","21492","130214","UPI","TXN100211"
"2023-03-12","IT","Infrastructure","North","125381","84598","Bank Transfer","TXN100212"
"2022-02-02","Sales","Salaries","West","70920","115474","Bank Transfer","TXN100213"
"2023-03-27","IT","Travel","North","122784","9484","Card","TXN100214"
"2022-02-05","IT","Salaries","West","104257","100526","Bank Transfer","TXN100215"
"2022-10-02","Sales","Marketing","Central","33409","27760","Cash","TXN100216"
"2023-11-23","Marketing","Training","West","126443","14326","Cash","TXN100217"
"2022-11-19","Sales","Infrastructure","West","70428","132802","Bank Transfer","TXN100218"
"2022-04-05","IT","Training","Central","36455","78723","Cash","TXN100219"
"2023-08-13","Operations","Utilities","North","141919","133477","Card","TXN100220"
"2022-04-15","IT","Infrastructure","Central","86699","120325","Bank Transfer","TXN100221"
"2023-11-12","Finance","Utilities","South","63213","137778","Cash","TXN100222"
"2023-01-20","Finance","Marketing","West","125883","22963","UPI","TXN100223"
"2021-02-07","Finance","Marketing","South","41849","145310","Card","TXN100224"
"2021-08-18","Marketing","Training","Central","81868","134197","Bank Transfer","TXN100225"
"2022-07-17","HR","Marketing","Central","132842","68494","Bank Transfer","TXN100226"
"2022-03-14","Finance","Salaries","East","146720","49328","Bank Transfer","TXN100227"
"2021-01-27","Operations","Infrastructure","South","41793","69790","UPI","TXN100228"
"2021-08-14","Marketing","Utilities","East","95240","120962","Cash","TXN100229"
"2023-03-09","HR","Training","South","94377","151877","Bank Transfer","TXN100230"
"2021-10-11","HR","Training","East","13450","94037","Cash","TXN100231"
"2023-05-29","Finance","Marketing","East","18418","166403","Card","TXN100232"
"2023-08-18","IT","Marketing","South","44575","82860","UPI","TXN100233"
"2022-03-29","Sales","Utilities","Central","140576","48632","UPI","TXN100234"
"2023-10-17","IT","Infrastructure","North","107260","124167","Card","TXN100235"
"2023-03-27","IT","Infrastructure","Central","124009","95268","Card","TXN100236"
"2022-10-21","HR","Training","North","43186","152297","Bank Transfer","TXN100237"
"2022-07-01","HR","Utilities","South","36451","47859","Card","TXN100238"
"2023-12-09","Marketing","Training","West","13155","34496","UPI","TXN100239"
"2021-01-17","Marketing","Travel","Central","39448","92392","Cash","TXN100240"
"2021-06-07","HR","Infrastructure","East","136934","8958","Cash","TXN100241"
"2022-04-22","Operations","Utilities","Central","138529","101399","Cash","TXN100242"
"2023-12-06","Operations","Utilities","South","139244","131951","Cash","TXN100243"
"2022-06-02","Sales","Training","West","55231","91408","Cash","TXN100244"
"2021-04-09","HR","Marketing","West","45399","94687","Cash","TXN100245"
"2023-11-27","Finance","Utilities","Central","82404","157389","UPI","TXN100246"
"2021-10-07","Marketing","Training","Central","58698","21584","Card","TXN100247"
"2022-05-12","HR","Salaries","Central","55379","165664","UPI","TXN100248"
"2021-10-29","Operations","Marketing","South","107275","45917","Bank Transfer","TXN100249"
"2021-06-30","HR","Marketing","North","144884","95672","Cash","TXN100250"
"2022-08-30","Operations","Infrastructure","North","33978","64308","Card","TXN100251"
"2022-12-01","HR","Travel","East","21531","97010","Card","TXN100252"
"2023-09-20","Finance","Infrastructure","South","38783","28321","Cash","TXN100253"
"2021-07-10","Sales","Salaries","West","23236","116798","Card","TXN100254"
"2021-09-10","Finance","Training","East","127485","129534","Cash","TXN100255"
"2023-09-08","Operations","Marketing","West","79683","119349","Bank Transfer","TXN100256"
"2023-07-17","Marketing","Marketing","West","103806","105313","Cash","TXN100257"
"2021-05-08","Marketing","Utilities","Central","143831","36858","Bank Transfer","TXN100258"
"2021-01-18","IT","Travel","West","23332","49838","Card","TXN100259"
"2022-07-20","Finance","Travel","West","63902","46336","UPI","TXN100260"
"2022-07-24","HR","Utilities","South","19198","72597","Card","TXN100261"
"2022-11-17","Sales","Salaries","Central","113307","143840","UPI","TXN100262"
"2022-09-18","HR","Travel","Central","116209","119467","Cash","TXN100263"
"2023-05-04","HR","Marketing","East","96023","126901","Card","TXN100264"
"2023-08-20","Finance","Salaries","Central","142853","13177","Card","TXN100265"
"2021-06-04","Sales","Infrastructure","North","88948","81582","Bank Transfer","TXN100266"
"2022-05-05","IT","Infrastructure","South","60141","145673","Cash","TXN100267"
"2023-02-24","HR","Salaries","East","119660","82433","UPI","TXN100268"
"2021-09-03","Sales","Marketing","North","41485","158145","Cash","TXN100269"
"2023-11-29","IT","Infrastructure","West","64351","64261","Bank Transfer","TXN100270"
"2023-01-29","HR","Training","North","36654","12581","Bank Transfer","TXN100271"
"2022-06-22","Sales","Marketing","East","61529","129975","Bank Transfer","TXN100272"
"2023-07-10","Finance","Utilities","Central","114349","47802","Cash","TXN100273"
"2022-02-12","Marketing","Travel","South","26665","132457","Bank Transfer","TXN100274"
"2022-06-09","Marketing","Salaries","East","72475","37698","Cash","TXN100275"
"2023-04-08","HR","Travel","North","57802","59119","Bank Transfer","TXN100276"
"2023-06-22","HR","Utilities","North","87892","68393","Card","TXN100277"
"2021-02-05","Sales","Infrastructure","East","46362","13080","UPI","TXN100278"
"2022-11-16","Marketing","Training","East","49338","72652","Cash","TXN100279"
"2021-01-20","HR","Marketing","East","103004","76664","UPI","TXN100280"
"2021-11-17","IT","Marketing","Central","106464","128023","Cash","TXN100281"
"2022-05-27","HR","Utilities","East","12120","70577","Cash","TXN100282"
"2022-02-04","Marketing","Salaries","West","120289","161278","Card","TXN100283"
"2022-10-16","Operations","Travel","South","10785","169522","Card","TXN100284"
"2023-08-30","Marketing","Training","South","66925","86117","Cash","TXN100285"
"2022-04-16","IT","Infrastructure","West","76473","122490","Bank Transfer","TXN100286"
"2023-04-14","Sales","Salaries","North","118185","130907","Cash","TXN100287"
"2022-12-28","IT","Training","North","39969","52569","Cash","TXN100288"
"2023-05-04","Operations","Training","North","75236","17811","Card","TXN100289"
"2021-02-20","Operations","Utilities","North","111416","85641","Card","TXN100290"
"2022-07-29","HR","Utilities","Central","26297","101897","UPI","TXN100291"
"2021-05-30","HR","Marketing","West","115741","94588","UPI","TXN100292"
"2021-11-10","Marketing","Infrastructure","South","40089","151032","Bank Transfer","TXN100293"
"2022-07-24","Finance","Salaries","West","16171","134709","UPI","TXN100294"
"2021-11-01","IT","Marketing","South","27874","99039","UPI","TXN100295"
"2022-11-13","Marketing","Infrastructure","North","69024","26162","UPI","TXN100296"
"2023-04-18","Finance","Travel","Central","31153","13530","Bank Transfer","TXN100297"
"2023-12-14","Marketing","Travel","East","114693","130779","Cash","TXN100298"
"2023-09-30","Operations","Marketing","East","67753","31128","Cash","TXN100299"
"2022-03-20","HR","Salaries","North","147713","78707","Bank Transfer","TXN100300"
"2022-09-05","HR","Infrastructure","North","99075","143537","Cash","TXN100301"
"2023-09-20","Marketing","Travel","West","14677","98275","UPI","TXN100302"
"2021-09-21","HR","Travel","Central","15139","37998","UPI","TXN100303"
"2023-12-13","Sales","Salaries","Central","67766","35333","UPI","TXN100304"
"2023-10-01","Marketing","Marketing","West","96049","73886","UPI","TXN100305"
"2021-01-05","Operations","Utilities","Central","86693","14522","Cash","TXN100306"
"2023-02-13","Marketing","Training","Central","67414","106504","Bank Transfer","TXN100307"
"2023-05-27","Marketing","Infrastructure","East","139807","97194","Bank Transfer","TXN100308"
"2023-09-19","HR","Travel","Central","83741","43320","Bank Transfer","TXN100309"
"2023-06-03","Operations","Training","North","146497","118424","Card","TXN100310"
"2021-02-16","Marketing","Training","East","13900","121959","Bank Transfer","TXN100311"
"2023-05-17","HR","Utilities","North","87347","65630","Card","TXN100312"
"2023-04-03","IT","Training","North","136004","64662","Bank Transfer","TXN100313"
"2023-07-25","Operations","Salaries","West","134463","121305","UPI","TXN100314"
"2022-10-18","Finance","Marketing","Central","39134","116291","Bank Transfer","TXN100315"
"2021-09-26","Sales","Infrastructure","Central","12817","142630","Card","TXN100316"
"2022-01-05","Finance","Salaries","Central","80486","81834","UPI","TXN100317"
"2022-09-28","Operations","Marketing","Central","148763","11513","Card","TXN100318"
"2022-10-19","Marketing","Salaries","East","75978","148532","Cash","TXN100319"
"2021-04-30","HR","Travel","South","67154","164388","Cash","TXN100320"
"2023-04-11","Operations","Travel","North","102195","121860","Cash","TXN100321"
"2023-12-18","Sales","Utilities","South","58788","57512","UPI","TXN100322"
"2023-01-11","Operations","Salaries","South","103039","36669","UPI","TXN100323"
"2021-04-27","HR","Training","South","19413","111099","Card","TXN100324"
"2023-03-02","Finance","Travel","East","124113","107754","UPI","TXN100325"
"2023-10-10","IT","Marketing","South","53400","65560","Bank Transfer","TXN100326"
"2023-12-18","Finance","Utilities","East","39899","39709","Card","TXN100327"
"2022-09-26","HR","Training","West","122683","95705","Bank Transfer","TXN100328"
"2022-05-28","HR","Infrastructure","West","55463","25011","UPI","TXN100329"
"2023-03-13","Sales","Salaries","West","10894","27651","Bank Transfer","TXN100330"
"2022-07-14","Operations","Travel","East","120398","8566","UPI","TXN100331"
"2022-05-03","Operations","Training","East","139611","44526","UPI","TXN100332"
"2023-06-16","Finance","Marketing","North","98777","10020","Bank Transfer","TXN100333"
"2022-12-05","IT","Salaries","South","56442","77066","Cash","TXN100334"
"2022-08-04","IT","Marketing","Central","129681","26890","UPI","TXN100335"
"2023-03-01","Sales","Utilities","Central","53520","83919","Card","TXN100336"
"2023-05-11","HR","Travel","South","113137","51882","Card","TXN100337"
"2021-09-04","Sales","Travel","Central","39899","33304","Cash","TXN100338"
"2021-06-03","Operations","Utilities","Central","88107","126016","Bank Transfer","TXN100339"
"2023-09-24","Marketing","Marketing","Central","141443","55742","Cash","TXN100340"
"2022-11-28","Marketing","Salaries","East","40193","70124","Bank Transfer","TXN100341"
"2023-12-29","Marketing","Marketing","East","115302","137925","Cash","TXN100342"
"2023-12-07","HR","Salaries","East","24464","99354","UPI","TXN100343"
"2023-10-06","Sales","Training","South","93323","46451","Card","TXN100344"
"2021-04-04","Finance","Utilities","West","59025","60754","Cash","TXN100345"
"2023-08-16","Operations","Infrastructure","Central","104187","152741","Card","TXN100346"
"2023-10-09","Marketing","Salaries","North","121710","28754","Bank Transfer","TXN100347"
"2022-03-29","IT","Travel","East","86248","132779","Cash","TXN100348"
"2023-07-01","Sales","Training","North","92927","110047","Cash","TXN100349"
"2021-08-06","Operations","Travel","Central","10667","143919","Cash","TXN100350"
"2022-04-19","Operations","Training","West","25890","89472","Cash","TXN100351"
"2022-03-08","IT","Travel","North","111333","46446","Card","TXN100352"
"2021-12-07","IT","Marketing","Central","51000","105676","UPI","TXN100353"
"2022-07-05","IT","Marketing","Central","130580","68489","Card","TXN100354"
"2021-12-23","Marketing","Marketing","East","39940","123363","UPI","TXN100355"
"2021-01-23","Marketing","Training","West","131878","77589","Cash","TXN100356"
"2022-06-06","Sales","Training","Central","129492","139994","UPI","TXN100357"
"2023-03-13","IT","Travel","West","34701","106711","Card","TXN100358"
"2023-02-01","Finance","Salaries","East","92697","58261","Cash","TXN100359"
"2022-03-18","Operations","Training","North","51795","151862","Card","TXN100360"
"2023-02-08","IT","Travel","South","100990","153639","Card","TXN100361"
"2023-10-13","Operations","Salaries","South","23115","28343","Card","TXN100362"
"2022-05-31","HR","Marketing","South","140845","9490","UPI","TXN100363"
"2023-11-06","HR","Training","West","66433","136369","Cash","TXN100364"
"2023-03-03","IT","Infrastructure","South","56999","68928","Cash","TXN100365"
"2021-12-02","Operations","Marketing","North","84564","167498","Card","TXN100366"
"2021-09-15","HR","Utilities","Central","117747","126888","Bank Transfer","TXN100367"
"2022-05-12","IT","Salaries","West","148760","91401","Card","TXN100368"
"2023-06-15","Operations","Infrastructure","North","33255","105914","UPI","TXN100369"
"2021-06-09","IT","Marketing","West","89747","24178","UPI","TXN100370"
"2023-05-02","Marketing","Training","West","87049","136272","Cash","TXN100371"
"2022-11-21","Operations","Infrastructure","West","76057","45622","Bank Transfer","TXN100372"
"2022-01-15","HR","Travel","East","36293","49834","UPI","TXN100373"
"2023-08-15","IT","Salaries","Central","40607","147127","Cash","TXN100374"
"2022-11-22","HR","Utilities","South","100413","138241","Bank Transfer","TXN100375"
"2023-12-03","IT","Travel","East","117148","163759","Bank Transfer","TXN100376"
"2021-10-12","Sales","Infrastructure","Central","46069","112762","Cash","TXN100377"
"2022-02-01","HR","Marketing","South","96079","81929","UPI","TXN100378"
"2021-01-12","HR","Salaries","East","52582","89396","Card","TXN100379"
